"beginyear","title"
1413,"Donatello completes St. Mark at Orsanmichele"
1414,"End of Western Schism in church; start of Council of Constance"
1415,"Jan Hus burned at the stake; Battle of Agincourt"
1416,"Destruction of Trezzo sull'Adda bridge"
1417,"Henry V is first king to use English in correspondence since Norman conquest"
1418,"Matteo da Siena paints The Slaughter of the Innocents"
1419,"Rouen surrenders to English"
1420,"Treaty of Troyes makes Henry V heir to king of France"
1421,"St. Elizabeth flood in the Netherlands"
1422,"Ottoman siege of Constantinople"
1423,"Gentile da Fabriano paints Adoration of the Magi"
1424,"James I returns to Scotland after 18 years of imprisonment"
1425,"Beijing is world's largest city"
1426,"Battles of St. James and of Usti nad Labem"
1427,"Witchhunts start in Switzerland"
1428,"Vietnam achieves independence from Ming China"
1429,"Joan of Arc leads expedition to Orléans; death of mathematician Jamsh?d al-K?sh?"
1430,"Deaths of iconographers Andrei Rublev and Daniil Chyorny"
1431,"Joan of Arc burned at Rouen; Henry VI of England crowned king of France"
1432,"Battle of San Romano; completion of Van Eyck's Ghent Altarpiece"
1433,"Alnwick burned by Scottish raiders; Zheng He ends last expedition to the Indian Ocean"
1434,"Cosimo de' Medici becomes ruler of Florence; first cargo of African slaves reaches Lisbon"
1435,"Portuguese sailors exploring the west coast of Africa"
1436,"French recapture Paris; death of astronomer Q??? Z?da al-R?m?"
1437,"James I of Scotland murdered "
1438,"Tahuantinsuyu, Inca Empire founded; All Souls, Oxford founded"
1439,"Ghiberti completes doors of Florence Baptistery"
1440,"Execution of serial child-killer Gilles de Rais; founding of Eton College"
1441,"King's College, Cambridge founded"
1442,"Ottomans defeated at Battle of Hermannstadt"
1443,"Hangul established as native Korean alphabet"
1444,"Mercado de Escravos opens in Portugal"
1445,"Portuguese establish first trading post at Arguin, west Africa"
1446,"Death of Brunelleschi; Ottomans invade Greece"
1447,"Death of Humphrey, Duke of Gloucester"
1448,"Nicholas V establishes Vatican Library"
1449,"Coronation of Constantine IX, last Roman emperor in East"
1450,"Construction of Machu Picchu; Jack Cade's Rebellion; wolfpack ravages in Paris"
1451,"French capture Bayonne; invention of concave lens spectacles"
1452,"Dum Diversas papal bull legitimizes slave trade"
1453,"Ottomans sack Constantinople; end of Hundred Years' War"
1454,"Peace of Lodi in Italy"
1455,"Start of the Wars of the Roses; Gutenberg prints his 42-line Bible"
1456,"Ottoman defeat at Battle of Nándorfehérvár (Belgrade)"
1457,"Mainz Psalter published"
1458,"Cadamosto discovers Cape Verde Islands"
1459,"Battle of Blore Heath"
1460,"Pedro de Sintra reaches the coast of Sierra Leone; death of Henry the Navigator"
1461,"Battle of Towton (bloodiest battle ever on English soil)"
1462,"Poland defeats the Teutonic Order; death of painter Dai Jin"
1463,"François Villon banned from Paris; Marsilio Ficino translates Corpus Hermeticum"
1464,"Songhai Empire conquers Timbuktu"
1465,"Henry VI imprisoned in the Tower of London"
1466,"Incas conquer the Chimú"
1467,"Polyalphabetic cipher invented by Alberti"
1468,"Orkney and Shetland pawned to Scotland by Denmark"
1469,"Marriage of Isabella of Castile to Ferdinand II of Aragon unifies Spain "
1470,"First book printed in France"
1471,"Henry VI murdered; Portuguese navigators cross the Equator and explore the Gold Coast"
1472,"Banca Monte Dei Paschi Di Siena, world's oldest surviving bank founded"
1473,"Avicenna's The Canon of Medicine published in Latin translation"
1474,"First modern patent system in Venice"
1475,"Oldest recorded game of chess"
1476,"Caxton prints the first dated book in England"
1477,"Battle of Nancy: Charles the Bold killed"
1478,"Lorenzo de' Medici becomes sole ruler of Florence; Duke of Clarence executed"
1479,"Treaty of Constantinople; end of War of the Castilian Succession"
1480,"Ottomans land in Italy; Lighthouse of Alexandria's final remains disappear"
1481,"Establishment of the Spanish Inquisition; Aztec Calendar Stone carved"
1482,"Diogo Cão sails up the Congo; first printed edition of Euclid's Elements"
1483,"First execution at the Tower of London; Sistine Chapel opened"
1484,"Papal bull Summis desiderantes affectibus orders witchhunts in Germany"
1485,"Sweating sickness starts in England; end of the War of the Roses"
1486,"Botticelli paints The Birth of Venus; the Medici giraffe arrives in Florence"
1487,"Battle of Stoke Field; Siege of Málaga"
1488,"Bartolomeu Dias sails round the Cape of Good Hope"
1489,"First outbreak of typhus in Europe; first sovereign coin issued in England"
1490,"Coffee arrives in Arabia; Mantegna completes Death of St. Sebastian"
1491,"Comet of 1491 comes closer to earth than any other recorded"
1492,"Start of Columbus's voyages; unification of Spain, Jews expelled"
1493,"Papal bull Inter caetera grants all land west of the Azores to Spain"
1494,"Treaty of Tordesillas; Aldine Press prints first book to contain semicolon"
1495,"First reference to Scotch whisky; Perkin Warbeck's troops routed"
1496,"Vasco de Gama sails for India"
1497,"John Cabot claims Newfoundland for England"
1498,"Savonarola executed; Da Vinci completes The Last Supper"
1499,"Vespucci sails to the New World; Ottomans defeat Venetians at Battle of Zonchio"
1500,"Portugal claims Brazil"
1501,"Ismail I founds the Safavid dynasty in Iran"
1502,"African slaves reported in New World"
1503,"Da Vinci believed to paint the Mona Lisa"
1504,"Michelangelo completes David"
1505,"Discovery of Bermuda"
1506,"Massacre of Jews in Lisbon"
1507,"First smallpox epidemic in New World"
1508,"Michelangelo starts work on the Sistine Chapel ceiling"
1509,"Portuguese victorious at Battle of Diu"
1510,"Invention of the pocketwatch"
1511,"Publication of Erasmus's In Praise of Folly"
1512,"Kingdom of Castile and Aragon invades Navarre"
1513,"Scots defeated at the Battle of Flodden Field"
1514,"Portuguese traders reach Indonesia"
1515,"Founding of Havana by Diego Velázquez de Cuéllar"
1516,"Thomas More publishes Utopia"
1517,"Start of Reformation: Luther posts 95 Theses"
1518,"Treaty of London non-aggression pact"
1519,"Hernando Cortés leads expedition to Mexico"
1520,"Suleiman the Magnificent becomes Sultan of Ottoman Empire"
1521,"Italian War begins"
1522,"Magellan expedition completes global circumnavigation"
1523,"Flemish Lutherans burned in Brussels"
1524,"Death of Hans Holbein the Elder"
1525,"Verrazzano expedition enters New York Bay"
1526,"First European settlement in America"
1527,"Start of Mughal Empire's rule in India"
1528,"Castiglione publishes The Book of the Courtier; death of Albrecht Dürer"
1529,"Vienna besieged by Turkish army"
1530,"Knights of Malta established"
1531,"Puebla, Mexico founded"
1532,"Publication of Machiavelli's The Prince"
1533,"Henry VIII excommunicated"
1534,"Act of Supremacy designates Henry VIII as head of the Church of England"
1535,"Anabaptists carry out Münster Rebellion"
1536,"Inquisition established in Portugal"
1537,"Bigod's Rebellion in north of England"
1538,"Ottoman fleet defeats Holy Roman Empire at Battle of Preveza"
1539,"First horse race at Chester, England's oldest racecourse"
1540,"Execution of Thomas Cromwell"
1541,"Francisco de Orellana explores Amazon; Hungary absorbed into Ottoman Empire"
1542,"Ruy López de Villalobos names Philippines "
1543,"Copernicus publishes heliocentric theory"
1544,"Tomatoes suggested to be edible; rats appear in North America"
1545,"Council of Trent; silver discovered in Bolivia"
1546,"Deaths of Luther and Tycho Brahe; Treaty of Ardres"
1547,"Battle of Pinkie; Ivan the Terrible crowned csar"
1548,"Firearms used in Japan for first time at Battle of Uedahara"
1549,"Publication of the Book of Common Prayer; spire blown off Lincoln Cathedral"
1550,"Ambroise Paré begins creating prosthetics"
1551,"First university in the Americas established at Lima, Peru"
1552,"Act of Uniformity universalizes use of Book of Common Prayer"
1553,"Mary I re-institutes Catholicism in England"
1554,"São Paulo founded"
1555,"Creation of the first Jewish ghetto in Rome"
1556,"Shaanxi Earthquake; Akbar ascends the Mughal throne"
1557,"Portuguese settle in Macau; Spain becomes bankrupt"
1558,"Elizabeth I ascends the throne"
1559,"Oath of Supremacy reinstated"
1560,"Tulips arrive in Netherlands from Turkey"
1561,"Madrid becomes capital of Spain; witchburning in southern Germany"
1562,"Wars of Religion start in France; Maya's sacred books burned"
1563,"Publication of the 39 Articles; English surrender Le Havre"
1564,"Births of Shakespeare and Galileo; death of Michelangelo"
1565,"Tobacco is introduced to England"
1566,"Ottomans construct Stari Most bridge at Mostar"
1567,"Mary, former Queen of Scots imprisoned"
1568,"Bottled beer invented in London; Eighty Years War begins"
1569,"Mercator produces new world map projection"
1570,"Palladio publishes I Quattro Libri dell'Architettura"
1571,"Holy League defeats Turks at Battle of Lepanto"
1572,"St. Bartholomew's Day massacre in Paris"
1573,"Beginning of Spanish silver trade with China"
1574,"First public garden at La Alameda, Seville; death of Giorgio Vasari"
1575,"Byrd and Tallis publish Cantiones; bubonic plague in Venice"
1576,"First permanent public playhouse in London; Sack of Antwerp"
1577,"Matteo Ricci arrives in Macao; first clock with a minute hand"
1578,"Last epidemic of sweating sickness in England"
1579,"Drake claims most of north America as Nova Albion for England"
1580,"Drake completes circumnavigation of globe; publication of Montaigne's Essais"
1581,"Edmund Campion executed"
1582,"New Testament part of Douay-Rheims Bible published"
1583,"Throckmorton Plot against Elizabeth"
1584,"English sailors explore North Carolina coast"
1585,"Roanoke Colony established by followers of Ralegh; Anglo-Spanish War starts"
1586,"Babington Plot against Elizabeth"
1587,"English raid on Bay of Cádiz; Mary, Queens of Scots beheaded"
1588,"Destruction of the Spanish Armada; birth of Hobbes, death of Veronese "
1589,"English Armada defeated; Hiroshima founded by M?ri Terumoto"
1590,"Publication of Spenser's The Faerie Queene"
1591,"English troops at Siege of Rouen; Rialto bridge in Venice completed"
1592,"Plague outbreak in London; Japan invades Korea"
1593,"Births of painters de la Tour, Gentileschi and Jordaens"
1594,"Nine Years' War starts in Ireland; death of Tintoretto"
1595,"Dutch expedition sets out for Indonesia; publication of Sidney's Defence of Poesy"
1596,"Famine in Europe; Willem Barentsz sets out on final voyage to Arctic"
1597,"Bacon's Essays published; English pirates raid Jamaica"
1598,"Edict of Nantes; Dutch explorers land in Mauritius"
1599,"Earl of Essex lands in Ireland with large army; death of Edmund Spenser; "
1600,"Inquisition burns Giordano Bruno for heresy"
1601,"Conversion of St. Paul by Caravaggio"
1602,"Founding of Dutch East India Company"
1603,"Death of Elizabeth I"
1604,"First performance of Othello "
1605,"Gunpowder Plot"
1606,"Dutch East India Company ship lands in Australia"
1607,"Jamestown, Virginia, is first permanent English colony in north America"
1608,"Death of magus John Dee"
1609,"Kepler discovers elliptical orbit of Mars around sun; plantation of Ulster begins"
1610,"Henry Hudson sails into Hudson Bay"
1611,"Publication of King James Bible"
1612,"First translation of Don Quixote published"
1613,"Publication of Galileo's Istoria e dimostrazioni"
1614,"Death of El Greco"
1615,"First British ambassador arrives in India"
1616,"Deaths of Shakespeare and Cervantes"
1617,"James I issues the Declaration of Sports"
1618,"Start of Thirty Years' War; Ralegh executed"
1619,"First slaves arrive in Virginia"
1620,"Signing of Mayflower Compact; Bacon publishes Novum Organum"
1621,"First Thanksgiving; first newspaper appears in Britain"
1622,"Jamestown massacre"
1623,"Velázquez becomes Spain's court painter"
1624,"Cardinal Richelieu becomes chief minister of France"
1625,"Barbados claimed for Britain"
1626,"Peter Minuit purchases Manhattan from Native Americans"
1627,"British defeat at La Rochelle"
1628,"Harvey publishes De Motu Cordis"
1629,"Charles I dissolves Parliament"
1630,"Suriname settled by the British"
1631,"Algerian pirates attack County Cork; Sack of Magdeburg"
1632,"Work starts on Taj Mahal"
1633,"Trial of Galileo in Rome; tulip mania begins in Holland"
1634,"Covent Garden Market opens"
1635,"Founding of Académie française and of Royal Mint in Britain"
1636,"Harvard College founded"
1637,"Descartes publishes Discours de la méthode"
1638,"Publication of Galileo's Two New Sciences"
1639,"Start of Bishops' War in Scotland"
1640,"Torture outlawed in Britain; Bay Psalm Book printed in Massachusetts "
1641,"Star Chamber abolished; rebellion in Ireland"
1642,"Start of Civil War in England; The Night Watch by Rembrandt"
1643,"Louis XIV becomes French king; Abel Tasman reaches Tonga and Fiji"
1644,"Battle of Marston Moor"
1645,"New Model Army established by Parliamentarians"
1646,"Powhatan leader Opechancanough executed "
1647,"Start of Great Plague of Seville"
1648,"Start of civil wars of La Fronde in France"
1649,"Execution of Charles I; Parliamentary forces invade Ireland"
1650,"Istanbul becomes largest city in world"
1651,"English Civil War ends; publication of Hobbes' Leviathan"
1652,"Bernini completes Ecstasy of St. Teresa"
1653,"Cromwell becomes Lord Protector"
1654,"Cromwell sends English ships to Caribbean to counter Spanish"
1655,"Britain seizes Jamaica from Spain"
1656,"Jews allowed to return to Britain"
1657,"Great Fire of Meireki in Edo, Japan"
1658,"Self Portrait by Rembrandt"
1659,"End of Franco-Spanish War"
1660,"Restoration of monarchy in England"
1661,"Royal Society founded in London"
1662,"Boyle publishes Nova experimenta physico-mechanica"
1663,"Hooke uses microscope to discover cells"
1664,"Louis XIV commissions gardens at Versailles"
1665,"Great Plague of London kills a quarter of inhabitants"
1666,"Great Fire of London"
1667,"Publication of Paradise Lost"
1668,"East India Company occupies Bombay"
1669,"Death of Rembrandt"
1670,"Hudson's Bay Company founded; Treaty of Dover"
1671,"Rose of Lima is canonized as the first saint of the Americas"
1672,"Royal African Company granted a monopoly on slave trade"
1673,"Death of Molière"
1674,"Van Leeuwenhoek observes red corpuscles through a microscope"
1675,"Death of Vermeer; King Phillip's War begins"
1676,"French East India Company makes Pondicherry its principal base"
1677,"Henry Purcell becomes court musician to Charles II"
1678,"Publication of The Pilgrim's Progress; second Test Act"
1679,"Habeas Corpus Act is passed"
1680,"Great Comet of 1680 sighted"
1681,"William Penn receives a charter for Pennsylvania"
1682,"Halley's Comet observed"
1683,"Turks turned back at the walls of Vienna; Rye House Plot"
1684,"The Holy League is formed against the Ottoman Empire"
1685,"Births of Bach and Handel"
1686,"Leibniz begins his Discourse on Metaphysics"
1687,"Publication of Newton's Principia mathematica"
1688,"Glorious Revolution ousts James II; Aphra Behn publishes Oroonoko"
1689,"William and Mary become king and queen; start of Jacobite rebellions"
1690,"Chinoiserie becomes fashionable"
1691,"Invention of Rolle's Theorem; Battle of Aughrim"
1692,"Salem witch trials; massacre at Glencoe"
1693,"Gold discovered in Brazil"
1694,"Bank of England founded; slave ship Hannibal loses nearly half its cargo on voyage"
1695,"Bank of Scotland founded"
1696,"Fort St. William (Calcutta) constructed on Ganges Delta"
1697,"St. Paul's Cathedral opens"
1698,"Palace of Whitehall destroyed by fire; Eddystone Lighthouse begins operating"
1699,"Savery demonstrates steam engine to Royal Society"
1700,"Construction of first piano by Cristofori"
1701,"Act of Settlement in Britain"
1702,"Death of William III, Anne becomes queen"
1703,"St. Petersburg founded in Russia"
1704,"Battle of Blenheim"
1705,"Newcomen invents steam engine"
1706,"Battle of Ramillies"
1707,"Act of Union between England and Scotland creates Kingdom of Great Britain"
1708,"Peter the Great defeats the Swedes at Lesnaya"
1709,"Battle of Malplaquet"
1710,"Completion of St. Paul's Cathedral"
1711,"John Shore invents the tuning fork"
1712,"Creation of John Bull as icon of Britishness"
1713,"Treaty of Utrecht allows Britain to supply unlimited slaves to Spanish colonies"
1714,"George I becomes Hanoverian king"
1715,"Jacobite defeat at the Battle of Sherriffmuir"
1716,"Jacobite 'Old Pretender' returns to exile in France"
1717,"Popularization of smallpox inoculation in Britain"
1718,"The pirate Edward Teach (Blackbeard) is killed in North Carolina"
1719,"Publication of Defoe's Robinson Crusoe"
1720,"South Sea Bubble"
1721,"J. S. Bach, Brandenburg Concertos"
1722,"The last of the Safavid sultans is killed"
1723,"Bach's St. John's Passion"
1724,"Publication of Boerhaave's Elements of Chemistry"
1725,"Death of Peter the Great"
1726,"Publication of Jonathan Swift's Gulliver's Travels"
1727,"Janet Horne is last person executed in Britain for sorcery"
1728,"James Bradley discovers aberration of light of fixed stars"
1729,"Publication of Swift's A Modest Proposal"
1730,"The Great Awakening in North America"
1731,"Construction of 10 Downing Street"
1732,"Poor Richard's Almanac published"
1733,"British courts abolish use of Latin"
1734,"Publication of Voltaire's Letters Concerning the English Nation"
1735,"Zenger Trial establishes freedom of the press"
1736,"John Harrison wins prize for his chronometer from the Board of Longitude"
1737,"Publication of Linnaeus's Genera Plantarum"
1738,"Excavation of Herculaneum begins"
1739,"Beginnings of Methodism in Britain"
1740,"Handel, The Messiah"
1741,"Publication of David Hume's Essays, Moral and Political"
1742,"Celsius scale of temperature devised"
1743,"Claude Moët founds champagne business"
1744,"King George's War"
1745,"Jacobite Rebellion"
1746,"Battle of Culloden"
1747,"Liverpool becomes Britain's busiest slave-trading port"
1748,"End of war between Britain and Spain"
1749,"Physicist Émilie du Châtelet dies"
1750,"Death of J. S. Bach"
1751,"Britain begins to challenge France for control of India"
1752,"Benjamin Franklin proposes the theory of electricity"
1753,"James Lind publishes a text prescribing citrus fruit as a cure for scurvy"
1754,"French and Indian War begins"
1755,"The Great Lisbon Earthquake"
1756,"Black Hole of Calcutta incident"
1757,"Publication of Edmund Burke's A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and the Beautiful"
1758,"Government of India Act establishes the British Raj"
1759,"British capture Quebec"
1760,"George III becomes king"
1761,"Bridgwater Canal completed; John Harrison invents marine chronometer"
1762,"Publication of Rousseau's Social Contract"
1763,"French and Indian War and Seven Years' War end"
1764,"James Hargreaves invents the Spinning Jenny"
1765,"Stamp Act and Quartering Act outrage American colonies"
1766,"Stamp Act repealed, Declaratory Act asserted"
1767,"Townshend Acts passed"
1768,"Founding of the Royal Academy"
1769,"Junipero Serra is sent to California"
1770,"Famine in Bengal kills 10 million"
1771,"Factory Age begins with Britain's first cotton mill, owned by Richard Arkwright"
1772,"Lord Mansfield rules a slave is free after arriving in England"
1773,"Boston Tea Party"
1774,"Joseph Priestley discovers oxygen; opening of the Continental Congress"
1775,"Start of American War of Independence"
1776,"13 American colonies' Declaration of Independence"
1777,"Lavoisier demonstrates that oxygen and nitrogen are the primary components of air"
1778,"Defeat of British at Battle of Monmouth"
1779,"Captain Cook killed in Hawaii"
1780,"Anti-Catholic Gordon Riots in London"
1781,"British surrender at Yorktown; publication of Kant's Critique of Pure Reason"
1782,"Compilation of the Siku Quanshu completed in China"
1783,"First hot air balloon flight by Montgolfier brothers"
1784,"East India Act places India under control of British government"
1785,"First edition of the Daily Universal Register published (later to become The Times)"
1786,"First ascent of Mont Blanc"
1787,"US constitution drafted and signed"
1788,"First convict ships arrive in Australia; London Committee for the Abolition of the Slave Trade formed"
1789,"French Revolution begins"
1790,"Publication of Burke's Reflections on the Revolution in France"
1791,"Death of Mozart"
1792,"Publication of Mary Wollstonecraft's Vindication of the Rights of Women"
1793,"France declares war on Britain; Louis XVI executed, Marat assassinated"
1794,"Habeas Corpus suspended in Britain; Lavoisier, Danton and Robespierre executed"
1795,"First graphite pencils and preserving jars introduced"
1796,"Napoleon invades Italy"
1797,"First copper pennies and pound notes used in Britain"
1798,"United Irishmen uprising; publication of Wordsworth and Coleridge's Lyrical Ballads"
1799,"Rosetta Stone discovered; Volta invents battery"
1800,"Beethoven's 1st Symphony"
1801,"Ireland merges with Great Britain, becoming part of the United Kingdom"
1802,"Treaty of Amiens ends war between Britain and France"
1803,"War begins again between Britain and France"
1804,"Morphine isolated; Napoleon crowned Emperor of the French"
1805,"French navy defeated at the Battle of Trafalgar"
1806,"Lewis and Clark expedition ends"
1807,"Britain makes slave trade illegal"
1808,"Beethoven first performs Fifth Symphony"
1809,"Humphrey Davy invents first electric lamp"
1810,"University of Berlin founded"
1811,"Luddite riots in Britain"
1812,"War of 1812 begins between Britain and United States"
1813,"Jane Austen publishes Pride and Prejudice"
1814,"Joseph Nicéphore Niépce takes first photograph"
1815,"Napoleon's Hundred Days end in defeat at the Battle of Waterloo"
1816,"The Year without Summer"
1817,"First Seminole War begins in Florida "
1818,"Mary Shelley publishes Frankenstein"
1819,"Singapore established by Stamford Raffles"
1820,"Antarctica discovered"
1821,"Mexico and Peru become independent of Spain"
1822,"Percy Shelley drowns"
1823,"James Monroe declares Monroe Doctrine"
1824,"Byron dies in Greece"
1825,"Stockton and Darlington Railway (first public railway) opens"
1826,"Internal combustion engine patented"
1827,"Deaths of William Blake and Beethoven"
1828,"Simón Bolívar declares himself dictator of Gran Colombia"
1829,"Metropolitan Police Force inaugurated"
1830,"Lyell publishes Principles of Geology"
1831,"Charles Darwin's begins voyage on the Beagle"
1832,"Parliament passes Great Reform Act"
1833,"Slavery Abolition Act prohibits slavery in British Empire"
1834,"End of the Portuguese Liberal Wars"
1835,"Charles Babbage invents mechanical calculator"
1836,"Colt patents revolver"
1837,"Victoria comes to the British throne; Dickens publishes Oliver Twist"
1838,"Cherokee Indians embark upon the Trail of Tears"
1839,"Beginning of the Opium Wars"
1840,"Act of Union 1840 establishes the Province of Canada"
1841,"Richard Owen coins the word dinosaur"
1842,"Hong Kong becomes British possession"
1843,"First wagon train leaves Missouri for the West"
1844,"First message transmitted by telegraph in Morse code"
1845,"Irish potato famine begins"
1846,"First Anglo-Sikh war ends"
1847,"Brontës publish Jane Eyre, Wuthering Heights, Agnes Grey; Greenwich Mean Time adopted by railways"
1848,"Revolutions across Europe; publication of Communist Manifesto"
1849,"California Gold Rush begins"
1850,"Taiping Rebellion begins"
1851,"Great Exhibition at Crystal Palace"
1852,"Matthew Perry inaugurates end to Japan's policy of isolation"
1853,"Crimean War begins"
1854,"Battle of Balaclava and Charge of the Light Brigade"
1855,"Walt Whitman publishes Leaves of Grass"
1856,"First identification of Neanderthal Man"
1857,"Indian Rebellion begins"
1858,"Indian Rebellion ends"
1859,"Publication of On the Origin of Species"
1860,"Édouard-Léon Scott de Martinville makes first sound recording"
1861,"American Civil War begins; serfdom abolished in Russia"
1862,"Pony Express started"
